Nom,Etat,Quality,Organization,Administration,Code Postale,Region,Total des classes,Nombre total d'étudiants
  م.إ. قلعة الأندلس 1 (شارع بورقيبة ) ,Publique,mauvaise,  أريانة ,  قلعة الأندلس ,  02022 ,  بلدي ,  20 ,  641 
  م.إ. قلعة الأندلس 2 ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,   ,  بلدي ,  24 ,  710 
  م.إ. قنطرة بنزرت ,Publique,mauvaise,  أريانة ,  قلعة الأندلس ,  02061 ,  ريفي ,  12 ,  368 
  م.إ. برج يوسف ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,  02032 ,  ريفي ,  6 ,  147 
  م.إ. بوحنش ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,  02081 ,  ريفي ,  8 ,  179 
  م.إ. قلعة الأندلس 3 ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,  02022 ,  بلدي ,  18 ,  531 
  م.إ. النحلي ,Publique,excellent,  أريانة ,  قلعة الأندلس ,  02032 ,  ريفي ,  6 ,  110 
  م.إ. قلعة الأندلس4 (سيدي عيسى) ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,  02022 ,  بلدي ,  8 ,  215 
  م.إ. المروج ,Publique,moyenne,  أريانة ,  قلعة الأندلس ,  02022 ,  بلدي ,  6 ,  146 
  م.إ. بجاوة 2 ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02020 ,  ريفي ,  10 ,  237 
  م.إ. سبالة بن عمار ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02020 ,  ريفي ,  7 ,  160 
  م.إ. المباركة 2 ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02020 ,  بلدي ,  10 ,  214 
  م.إ. سيدي ثابت 1 ,Publique,mauvaise,  أريانة ,  سيدي ثابت ,  02020 ,  بلدي ,  23 ,  766 
  م.إ. سيدي ثابت 2 ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02057 ,  ريفي ,  12 ,  245 
  م.إ. المباركة 1 ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02020 ,  بلدي ,  12 ,  282 
  م.إ. البكري سبالة بن عمار ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02032 ,  ريفي ,  12 ,  342 
  م.إ. شرفش 24 ,Publique,excellent,  أريانة ,  سيدي ثابت ,  02057 ,  ريفي ,  6 ,  93 
  م.إ. الجباس ,Publique,moyenne,  أريانة ,  سيدي ثابت ,  02020 ,  ريفي ,  6 ,  168 
  م.إ. حي الساحلي طريق سكرة ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  21 ,  565 
  م.إ. حي الهادي نويرة ,Publique,moyenne,  أريانة ,  سكرة ,  02073 ,  بلدي ,  16 ,  452 
  م.إ. برج الوزير حي التعمير5 ,Publique,mauvaise,  أريانة ,  سكرة ,  02073 ,  بلدي ,  24 ,  798 
  م.إ. شطرانة ,Publique,mauvaise,  أريانة ,  سكرة ,  02036 ,  بلدي ,  26 ,  889 
  م.إ. سكرة البريد ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  16 ,  464 
  م.إ. سيدي فرج سكرة ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  15 ,  406 
  م.إ. حي الصحة برج الوزير ,Publique,moyenne,  أريانة ,  سكرة ,  02073 ,  بلدي ,  20 ,  566 
  م.إ. دار الفاضل 1 سكرة ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  22 ,  656 
  م.إ. حي النسيم أريانة ,Publique,mauvaise,  أريانة ,  سكرة ,  02073 ,  بلدي ,  13 ,  414 
  م.إ. سيدي سفيان ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  28 ,  835 
  م.إ. دار فضـال 2 ,Publique,mauvaise,  أريانة ,  سكرة ,  02036 ,  بلدي ,  26 ,  847 
  م.إ. النخيلات ,Publique,moyenne,  أريانة ,  سكرة ,  02083 ,  بلدي ,  17 ,  480 
  م.إ. المنصورة أريانة ,Publique,moyenne,  أريانة ,  سكرة ,  02058 ,  بلدي ,  12 ,  320 
  م.إ. حي الباهي الأدغم ,Publique,mauvaise,  أريانة ,  سكرة ,  02036 ,  بلدي ,  20 ,  616 
  م.إ. الزوايدية ,Publique,moyenne,  أريانة ,  سكرة ,  02036 ,  بلدي ,  12 ,  324 
  م.إ. دار فضال 3 ,Publique,mauvaise,  أريانة ,  سكرة ,   ,  بلدي ,  6 ,  200 
  م.إ. برج الطويل ,Publique,moyenne,  أريانة ,  رواد ,  02081 ,  ريفي ,  12 ,  355 
  م.إ. حي شاكر قلعة الأندلس ,Publique,mauvaise,  أريانة ,  رواد ,  02081 ,  ريفي ,  18 ,  605 
  م.إ. جعفر الشمالية ,Publique,moyenne,  أريانة ,  رواد ,  02080 ,  بلدي ,  15 ,  443 
  م.إ. جعفر 1 ,Publique,moyenne,  أريانة ,  رواد ,  02083 ,  بلدي ,  22 ,  634 
  م.إ. رواد ,Publique,mauvaise,  أريانة ,  رواد ,  02056 ,  بلدي ,  36 ,  1383 
  م.إ. الإمام سحنون حي الغزالة ,Publique,mauvaise,  أريانة ,  رواد ,  02083 ,  بلدي ,  33 ,  1166 
  م.إ. أبو القاسم الشابي حي الغزالة ,Publique,mauvaise,  أريانة ,  رواد ,  02083 ,  بلدي ,  27 ,  812 
  م.إ. حــي اليمامة ,Publique,mauvaise,  أريانة ,  رواد ,  02056 ,  بلدي ,  34 ,  1279 
  م.إ. جعفر 2 ,Publique,mauvaise,  أريانة ,  رواد ,  02083 ,  بلدي ,  28 ,  912 
  م.إ. الفرابي حي الغزالة ,Publique,moyenne,  أريانة ,  رواد ,  02083 ,  بلدي ,  13 ,  376 
  م.إ. اريانة الصغرى ,Publique,moyenne,  أريانة ,  رواد ,  02056 ,  بلدي ,  14 ,  408 
  م.إ. اليمامة 2 ,Publique,mauvaise,  أريانة ,  رواد ,  02056 ,  بلدي ,  6 ,  253 
  م.إ. رياض الأندلس ,Publique,mauvaise,  أريانة ,  أريانة ,  02058 ,  بلدي ,  24 ,  732 
  م.إ. سيدي الجبالي ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  8 ,  202 
  م.إ. طريق بنزرت ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  6 ,  154 
  م.إ. الحبيب ثامر ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  23 ,  603 
  م.إ. رياض النصر ,Publique,moyenne,  أريانة ,  أريانة ,  02037 ,  بلدي ,  17 ,  428 
  م.إ. فرحات حشاد ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  24 ,  674 
  م.إ. حي النور ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  12 ,  273 
  م.إ. شارع الحرية أريانة الجديدة ,Publique,excellent,  أريانة ,  أريانة ,  02080 ,  بلدي ,  7 ,  131 
  م.إ. المنزه الخامس 1/5 شارع افريقيا ,Publique,moyenne,  أريانة ,  أريانة ,  01004 ,  بلدي ,  21 ,  577 
  م.إ. حي التعمير 1 ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  11 ,  268 
  م.إ. حي الفردوس ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  24 ,  691 
  م.إ. أريانة العليا ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  12 ,  298 
  م.إ. نهج بلال المنزه السادس ,Publique,moyenne,  أريانة ,  أريانة ,  02091 ,  بلدي ,  23 ,  529 
  م.إ. المنزه السابع ,Publique,moyenne,  أريانة ,  أريانة ,  02037 ,  بلدي ,  11 ,  226 
  م.إ. برج التركي ,Publique,excellent,  أريانة ,  أريانة ,  02037 ,  بلدي ,  6 ,  99 
  م.إ. المنزه الثامن ,Publique,excellent,  أريانة ,  أريانة ,  02037 ,  بلدي ,  6 ,  107 
  م.إ. حي النصر ,Publique,moyenne,  أريانة ,  أريانة ,  02080 ,  بلدي ,  12 ,  268 
  م.إ. حي التضامن 1 ,Publique,moyenne,  أريانة ,  حي التضامن ,  02095 ,  بلدي ,  12 ,  338 
  م.إ. حي التضامن 1 مكرر ,Publique,moyenne,  أريانة ,  حي التضامن ,  02095 ,  بلدي ,  14 ,  396 
  م.إ. حي التضامن 2 ,Publique,mauvaise,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  39 ,  1381 
  م.إ. حي التضامن 2 مارس 34 ,Publique,mauvaise,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  28 ,  969 
  م.إ. حي التضامن 4 ,Publique,moyenne,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  20 ,  571 
  م.إ. حي التضامن 5 طاق ابن زياد ,Publique,moyenne,  أريانة ,  حي التضامن ,  02095 ,  بلدي ,  12 ,  314 
  م.إ. 18 جانفي 52 حي التضامن ,Publique,mauvaise,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  32 ,  979 
  م.إ. التضامن3 ,Publique,moyenne,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  19 ,  553 
  م.إ. الامل ( حي التضامن 3 مكرر) ,Publique,moyenne,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  18 ,  503 
  م.إ. حي التضامن 4 مكرر ,Publique,moyenne,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  21 ,  616 
  م.إ. نهج الطيب المهيري ,Publique,moyenne,  أريانة ,  حي التضامن ,  02041 ,  بلدي ,  20 ,  570 
  م.إ. المنيهلة ,Publique,mauvaise,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  21 ,  719 
  م.إ. حي النصر 1 عن المنيهلة ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  18 ,  497 
  م.إ. حي النصر 2 عن المنيهلة ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  25 ,  675 
  م.إ. واد الرومي 1 ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  18 ,  509 
  م.إ. الصنهاجي عن المنيهلة ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  17 ,  459 
  م.إ. ابن سينا ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  16 ,  437 
  م.إ. الجمهورية 2 ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  20 ,  584 
  م.إ. واد الرومي 2 البساتين ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  19 ,  569 
  م.إ. الجمهورية 1 ,Publique,mauvaise,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  18 ,  551 
  م.إ. النصر 3 ,Publique,moyenne,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  17 ,  486 
  م.إ. حدائق المنيهلة ,Publique,excellent,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  6 ,  54 
  م.إ. واد الرومي3 ,Publique,mauvaise,  أريانة ,  المنيهلة ,  02041 ,  بلدي ,  24 ,  816 
  م.إ. البساتين ,Publique,mauvaise,  أريانة ,  المنيهلة ,  02094 ,  بلدي ,  28 ,  1023 
